GROUP_NAME,MIN,USAGE_PCT,NET_RATING,OFF_RATING,DEF_RATING,PACE,PIE,MATCHUP_SCORE,STATUS
J. Holiday - J. Tatum - L. Kornet - P. Pritchard - S. Hauser,38.0,1.7,38.3,128.6,90.2,101.32,0.646,84.3,UNDERUSED
A. Horford - J. Brown - J. Tatum - D. White - P. Pritchard,41.0,1.8,32.9,128.6,95.7,108.2,0.616,82.3,UNDERUSED
A. Horford - J. Holiday - J. Tatum - D. White - L. Kornet,38.0,1.7,31.6,127.8,96.3,100.2,0.625,77.4,UNDERUSED
J. Tatum - D. White - L. Kornet - P. Pritchard - S. Hauser,59.0,2.6,27.5,123.6,96.1,104.43,0.603,75.8,OK
J. Tatum - D. White - N. Queta - P. Pritchard - S. Hauser,48.0,2.1,32.0,127.8,95.8,97.41,0.668,74.2,OK
A. Horford - J. Holiday - J. Tatum - D. White - N. Queta,54.0,2.4,28.1,129.9,101.9,95.93,0.652,69.9,OK
A. Horford - J. Brown - J. Tatum - D. White - S. Hauser,49.0,2.2,29.9,138.0,108.1,97.48,0.583,67.1,OK
J. Holiday - K. Porziņģis - J. Brown - J. Tatum - P. Pritchard,38.0,1.7,14.6,102.3,87.7,105.26,0.605,67.0,OK
J. Holiday - J. Brown - J. Tatum - D. White - L. Kornet,76.0,3.4,17.7,109.7,92.0,103.53,0.601,66.7,OK
J. Holiday - K. Porziņģis - J. Brown - D. White - P. Pritchard,43.0,1.9,15.2,113.0,97.8,104.3,0.609,65.1,OK
A. Horford - J. Brown - J. Tatum - D. White - L. Kornet,51.0,2.3,21.8,123.8,101.9,96.61,0.584,64.7,OK
A. Horford - J. Holiday - J. Brown - J. Tatum - D. White,268.0,12.0,17.7,122.1,104.4,100.6,0.579,64.5,OK
A. Horford - J. Holiday - J. Tatum - P. Pritchard - S. Hauser,31.0,1.4,10.2,95.7,85.5,107.49,0.578,63.8,UNDERUSED
J. Tatum - L. Kornet - P. Pritchard - S. Hauser - J. Walsh,32.0,1.4,22.0,142.9,120.9,101.6,0.591,63.6,UNDERUSED
A. Horford - J. Holiday - K. Porziņģis - J. Tatum - D. White,56.0,2.5,8.0,107.3,99.2,107.19,0.546,60.4,OK
A. Horford - K. Porziņģis - D. White - P. Pritchard - S. Hauser,29.0,1.3,14.7,125.0,110.3,97.71,0.591,59.9,UNDERUSED
A. Horford - J. Holiday - K. Porziņģis - J. Brown - D. White,77.0,3.4,11.4,117.2,105.7,100.17,0.565,58.8,OVERUSED
A. Horford - J. Holiday - K. Porziņģis - J. Brown - J. Tatum,36.0,1.6,10.1,122.1,112.0,100.31,0.607,58.2,OK
J. Brown - D. White - L. Kornet - P. Pritchard - S. Hauser,39.0,1.7,7.8,112.6,104.8,104.88,0.523,57.0,OK
A. Horford - J. Brown - D. White - P. Pritchard - S. Hauser,27.0,1.2,20.1,131.4,111.3,92.9,0.566,55.7,UNDERUSED
J. Holiday - J. Brown - J. Tatum - D. White - N. Queta,27.0,1.2,1.8,105.1,103.3,108.65,0.498,54.6,UNDERUSED
A. Horford - J. Brown - L. Kornet - P. Pritchard - S. Hauser,25.0,1.1,7.5,118.9,111.3,101.76,0.533,53.1,UNDERUSED
A. Horford - K. Porziņģis - J. Tatum - D. White - S. Hauser,27.0,1.2,1.6,108.8,107.1,101.89,0.518,52.3,UNDERUSED
K. Porziņģis - J. Brown - J. Tatum - D. White - P. Pritchard,26.0,1.2,-5.2,113.1,118.3,109.75,0.526,50.9,UNDERUSED
J. Holiday - J. Brown - N. Queta - P. Pritchard - S. Hauser,31.0,1.4,1.6,98.5,96.9,102.52,0.52,50.9,OK
A. Horford - J. Tatum - L. Kornet - P. Pritchard - S. Hauser,119.0,5.3,10.4,111.7,101.3,94.82,0.519,50.3,OVERUSED
J. Holiday - K. Porziņģis - J. Brown - J. Tatum - D. White,357.0,16.0,0.0,114.1,114.1,103.05,0.509,49.4,OVERUSED
A. Horford - J. Brown - D. White - L. Kornet - P. Pritchard,30.0,1.3,6.6,127.9,121.3,97.93,0.514,48.5,OK
L. Kornet - T. Craig - P. Pritchard - S. Hauser - B. Scheierman,34.0,1.5,7.5,88.7,81.3,89.96,0.579,48.2,OK
J. Brown - J. Tatum - D. White - L. Kornet - S. Hauser,24.0,1.1,5.2,134.8,129.5,91.42,0.498,43.9,OK
J. Brown - J. Tatum - D. White - N. Queta - P. Pritchard,24.0,1.1,-4.1,110.2,114.3,97.88,0.521,43.5,OK
A. Horford - J. Tatum - D. White - P. Pritchard - S. Hauser,38.0,1.7,-9.6,104.9,114.5,103.6,0.446,42.2,OVERUSED
A. Horford - K. Porziņģis - J. Brown - J. Tatum - D. White,36.0,1.6,-9.4,109.0,118.4,102.09,0.421,40.9,OVERUSED
A. Horford - K. Porziņģis - J. Tatum - D. White - P. Pritchard,29.0,1.3,-1.7,98.3,100.0,94.03,0.551,39.7,OK
J. Brown - D. White - N. Queta - P. Pritchard - S. Hauser,54.0,2.4,-3.5,136.5,140.0,90.05,0.514,36.3,OVERUSED
J. Brown - J. Tatum - D. White - L. Kornet - P. Pritchard,33.0,1.5,-7.5,109.0,116.4,96.5,0.451,35.5,OVERUSED
K. Porziņģis - J. Brown - D. White - P. Pritchard - S. Hauser,30.0,1.3,-10.2,110.2,120.3,94.61,0.505,33.9,OK
A. Horford - J. Brown - J. Tatum - D. White - N. Queta,34.0,1.5,-11.4,105.7,117.1,99.01,0.431,33.6,OVERUSED
J. Holiday - J. Tatum - N. Queta - P. Pritchard - S. Hauser,41.0,1.8,-14.9,101.2,116.0,95.61,0.419,32.9,OVERUSED
A. Horford - J. Holiday - J. Tatum - D. White - P. Pritchard,35.0,1.6,-10.2,101.4,111.6,94.78,0.443,32.7,OVERUSED
A. Horford - J. Tatum - D. White - L. Kornet - P. Pritchard,24.0,1.1,-13.2,82.6,95.8,95.68,0.377,29.3,OK
A. Horford - J. Holiday - J. Tatum - D. White - S. Hauser,25.0,1.1,-21.7,106.0,127.7,92.38,0.468,25.2,OK
